Formula,Resist,Seebeck,T (K),average atomic volume,preparative route
In0.15Co4Sb12,0.00212784,-266.33,400.0,22.95323943,Solid state reaction
In0.15Co4Sb12,0.0026883000000000002,-301.53,700.0,22.95323943,Solid state reaction
In0.2Co4Sb12,0.00149208,-222.15,300.0,22.92413751,Solid state reaction
In0.2Co4Sb12,0.00174818,-248.19,400.0,22.92413751,Solid state reaction
In0.2Co4Sb12,0.00214537,-281.75,700.0,22.92413751,Solid state reaction
In0.25Co4Sb12,0.00113947,-217.11,300.0,22.85814436,Solid state reaction
In0.25Co4Sb12,0.00134137,-247.94,400.0,22.85814436,Solid state reaction
In0.25Co4Sb12,0.00165666,-275.7,700.0,22.85814436,Solid state reaction
In0.3Co4Sb12,0.00151015,-211.82,300.0,22.78802735,Solid state reaction
In0.3Co4Sb12,0.00179338,-247.31,400.0,22.78802735,Solid state reaction
In0.3Co4Sb12,0.00228108,-278.47,700.0,22.78802735,Solid state reaction
In0.2Co4Sb12,0.00113436,-192.21,300.0,22.92413751,Solid state reaction
In0.2Co4Sb12,0.00128767,-214.39,400.0,22.92413751,Solid state reaction
In0.2Co4Sb12,0.00159808,-247.54,700.0,22.92413751,Solid state reaction
Na0.02PbTe,0.000368595,62.38,300.0,33.73,melted
Na0.02PbTe,0.000569421,105.0,400.0,33.73,melted
Na0.02PbTe,0.0017124000000000002,212.86,700.0,33.73,melted
Na0.02PbTe0.85Se0.15,0.00041322300000000005,50.95,300.0,33.73,melted
Na0.02PbTe0.85Se0.15,0.000619008,98.33,400.0,33.73,melted
Na0.02PbTe0.85Se0.15,0.00160579,209.05,700.0,33.73,melted
Na0.02PbTe0.85Se0.15,0.00205455,204.0,1000.0,33.73,melted
Na0.02PbTe0.75Se0.25,0.0005123969999999999,58.81,300.0,33.73,melted
Na0.02PbTe0.75Se0.25,0.000690909,89.76,400.0,33.73,melted
Na0.02PbTe0.75Se0.25,0.00163306,205.24,700.0,33.73,melted
Na0.02PbTe0.75Se0.25,0.00198264,197.0,1000.0,33.73,melted
Tl0.01Pb0.99Te,0.00274242,140.4,300.0,33.73,melted
Tl0.01Pb0.99Te,0.00354545,201.46,400.0,33.73,melted
Tl0.01Pb0.99Te,0.00872727,323.94,700.0,33.73,melted
Tl0.02Pb0.98Te,0.00239394,136.17,300.0,33.73,melted
Tl0.02Pb0.98Te,0.00290909,195.21,400.0,33.73,melted
Tl0.02Pb0.98Te,0.00536364,327.66,700.0,33.73,melted
Si0.9Ge0.1,0.0018219999999999998,169.0,300.0,21.2225,
Si0.9Ge0.1,0.0020800000000000003,192.0,400.0,21.2225,
Si0.9Ge0.1,0.00302,242.0,700.0,21.2225,
Si0.9Ge0.1,0.004144,273.0,1000.0,21.2225,
Si0.8Ge0.2,0.001495,137.0,300.0,21.2225,
Si0.8Ge0.2,0.0017050000000000001,161.0,400.0,21.2225,
Si0.8Ge0.2,0.002454,218.3,700.0,21.2225,
Si0.8Ge0.2,0.0033420000000000004,254.0,1000.0,21.2225,
Si0.79936Ge0.19984B0.0008,0.00133341,127.631,300.0,21.2225,Vacuum hot pressed
Si0.79936Ge0.19984B0.0008,0.0015184,151.36,400.0,21.2225,Vacuum hot pressed
Si0.79936Ge0.19984B0.0008,0.00218446,209.82299999999998,700.0,21.2225,Vacuum hot pressed
Si0.79936Ge0.19984B0.0008,0.00294846,248.114,1000.0,21.2225,Vacuum hot pressed
Si0.7956Ge0.1989P0.0055,0.00117001,-122.807,300.0,21.2225,Vacuum hot pressed
Si0.7956Ge0.1989P0.0055,0.00133537,-150.045,400.0,21.2225,Vacuum hot pressed
Si0.7956Ge0.1989P0.0055,0.00194253,-230.877,700.0,21.2225,Vacuum hot pressed
Si0.7956Ge0.1989P0.0055,0.0025039999999999997,-281.44599999999997,1000.0,21.2225,Vacuum hot pressed
TiNiSn,0.0075,-200.0,300.0,17.35083333,Magnetic levitation induction furnace
TiNiSn,0.0051,-245.0,400.0,17.35083333,Magnetic levitation induction furnace
TiNiSn,0.00217,-233.0,700.0,17.35083333,Magnetic levitation induction furnace
TiNiSn,0.0015,-155.0,1000.0,17.35083333,Magnetic levitation induction furnace
Bi2Sr2Co2O8,0.0021239,108.88,300.0,13.59035714,Solid state reaction + extra
Bi2Sr2Co2O8,0.00238192,120.0,400.0,13.59035714,Solid state reaction + extra
Bi2Sr2Co2O8,0.00276581,171.43,700.0,13.59035714,Solid state reaction + extra
Bi2Sr2Co2O8,0.0036681999999999995,293.62,1000.0,13.59035714,Solid state reaction + extra
K2Bi8Se13,0.032463527,-196.16,300.0,29.51804348,Solid state reaction + extra
K2Bi8Se13,0.004159267,-219.62,300.0,29.51804348,Flux (Bi self-flux)
Ca2Co2O5,0.00146827,135.09,300.0,10.88305709,melted
Ca2Co2O5,0.00146667,142.36,400.0,10.88305709,melted
Ca2Co2O5,0.00144731,173.46,700.0,10.88305709,melted
Ca2Co2O5,0.00137846,207.27,1000.0,10.88305709,melted
ZnO,181.5432057,-501.65,700.0,11.905,Solid state reaction
ZnO,3.2248312969999997,-549.67,1000.0,11.905,Solid state reaction
Al0.02Zn0.98O,110.6684374,-289.98,400.0,11.905,Solid state reaction
Al0.02Zn0.98O,25.51020408,-331.35,700.0,11.905,Solid state reaction
Al0.02Zn0.98O,1.635351072,-412.05,1000.0,11.905,Solid state reaction
Ni0.02Zn0.98O,161.4465612,-206.81,400.0,11.905,Solid state reaction
Ni0.02Zn0.98O,0.944985838,-204.62,700.0,11.905,Solid state reaction
Ni0.02Zn0.98O,0.28672595,-229.87,1000.0,11.905,Solid state reaction
Zn0.9604Al0.0196Ni0.02O,37.21622627,-362.53,400.0,11.905,Solid state reaction
Zn0.9604Al0.0196Ni0.02O,1.174744174,-434.32,700.0,11.905,Solid state reaction
Zn0.9604Al0.0196Ni0.02O,0.508,-443.73,1000.0,11.905,Solid state reaction
WO2.9,0.00123823,-28.21,300.0,13.3275,Spark Plasma Sintering
WO2.9,0.00119115,-31.41,400.0,13.3275,Spark Plasma Sintering
WO2.9,0.00105367,-45.45,700.0,13.3275,Spark Plasma Sintering
WO2.9,0.00117232,-66.47,1000.0,13.3275,Spark Plasma Sintering
WO2.722,6.459999999999998e-05,-25.74,300.0,12.26791667,Spark Plasma Sintering
WO2.722,9.790000000000001e-05,-25.21,400.0,12.26791667,Spark Plasma Sintering
WO2.722,0.00020161,-27.03,700.0,12.26791667,Spark Plasma Sintering
WO2.722,0.00030465099999999997,-33.86,1000.0,12.26791667,Spark Plasma Sintering
La2CuO4,0.07257639999999999,217.6,300.0,12.07357143,Solid state reaction
La1.61Sr0.39Cu0.94Ti0.06O4,0.0032,130.0,300.0,13.44214286,Solid state reaction
La1.85Sr0.15Cu0.94Ti0.06O4,12.61,200.0,300.0,13.54857143,Solid state reaction
La1.73Sr0.27Cu0.94Ti0.06O4,0.0039,20.0,300.0,13.46857143,Solid state reaction
La1.69Sr0.31Cu0.94Ti0.06O4,0.0035,5.0,300.0,13.46071429,Solid state reaction
La1.67Sr0.34Cu0.94Ti0.06O4,0.0032,6.3,300.0,13.45785714,Solid state reaction
La1.95Sr0.05CuO4,0.00818141,149.91,300.0,13.58035714,Solid state reaction (O2 atmosphere)
La1.95Sr0.05CuO4,0.0107975,140.0,400.0,13.58035714,Solid state reaction (O2 atmosphere)
La1.95Sr0.05CuO4,0.0158385,120.0,700.0,13.58035714,Solid state reaction (O2 atmosphere)
La1.95Sr0.05CuO4,0.019175599999999998,100.0,1000.0,13.58035714,Solid state reaction (O2 atmosphere)
La1.9Sr0.1CuO4,0.00280286,54.72,300.0,13.51428571,Solid state reaction (O2 atmosphere)
La1.9Sr0.1CuO4,0.00381517,50.0,400.0,13.51428571,Solid state reaction (O2 atmosphere)
La1.9Sr0.1CuO4,0.00608328,40.0,700.0,13.51428571,Solid state reaction (O2 atmosphere)
La1.9Sr0.1CuO4,0.00818462,30.0,1000.0,13.51428571,Solid state reaction (O2 atmosphere)
La1.85Sr0.15CuO4,0.00112686,25.0,300.0,13.57642857,Solid state reaction (O2 atmosphere)
La1.85Sr0.15CuO4,0.00148762,20.0,400.0,13.57642857,Solid state reaction (O2 atmosphere)
La1.85Sr0.15CuO4,0.00253868,2.0,700.0,13.57642857,Solid state reaction (O2 atmosphere)
La1.85Sr0.15CuO4,0.00376365,1.0,1000.0,13.57642857,Solid state reaction (O2 atmosphere)
La1.725Sr0.28CuO4,0.00047135,0.5,300.0,13.57642857,Solid state reaction (O2 atmosphere)
La1.725Sr0.28CuO4,0.000676029,0.1,400.0,13.57642857,Solid state reaction (O2 atmosphere)
La1.725Sr0.28CuO4,0.00136142,0.1,700.0,13.57642857,Solid state reaction (O2 atmosphere)
La1.725Sr0.28CuO4,0.00222519,0.1,1000.0,13.57642857,Solid state reaction (O2 atmosphere)
TlCr5Se8,0.013999999999999999,215.0,300.0,20.76035714,Solid state reaction
TlCr5Se8,0.016,240.0,400.0,20.76035714,Solid state reaction
TlCr5Se8,0.02,295.0,700.0,20.76035714,Solid state reaction
LiMn2O4,1886.12,-175.03099999999998,300.0,9.922142857,Solid state reaction (oxalates)
LiMn2O4,85.3104,-147.0,400.0,9.922142857,Solid state reaction (oxalates)
LiMn2O4,1.69095,-100.68,700.0,9.922142857,Solid state reaction (oxalates)
LiMn2O4,0.359618,-84.81,1000.0,9.922142857,Solid state reaction (oxalates)
CuFe0.9Cr0.1O2,0.107079,277.07599999999996,300.0,11.4125,Solid state reaction
CuFe0.9Cr0.1O2,0.0699656,299.003,400.0,11.4125,Solid state reaction
CuFe0.9Cr0.1O2,0.055702499999999995,321.42900000000003,700.0,11.4125,Solid state reaction
CuFe0.9Cr0.1O2,0.0532197,324.91700000000003,1000.0,11.4125,Solid state reaction
CuRh0.9Mg0.1O2,0.00179525,97.6744,300.0,11.71333333,Solid state reaction
CuRh0.9Mg0.1O2,0.0019370000000000001,115.116,400.0,11.71333333,Solid state reaction
CuRh0.9Mg0.1O2,0.00319853,145.515,700.0,11.71333333,Solid state reaction
CuRh0.9Mg0.1O2,0.00407907,167.94,1000.0,11.71333333,Solid state reaction
CuCr0.98Mg0.02O2,0.196666,300.0,300.0,10.92666667,Solid state reaction
CuCr0.98Mg0.02O2,0.119099,321.42900000000003,400.0,10.92666667,Solid state reaction
CuCr0.98Mg0.02O2,0.0865553,351.827,700.0,10.92666667,Solid state reaction
CuCr0.98Mg0.02O2,0.072125,354.81699999999995,1000.0,10.92666667,Solid state reaction
WO3,1402.658318,97.9094,300.0,13.216875,Solid state reaction
WO3,809.8083993,107.57799999999999,400.0,13.216875,Solid state reaction
